episode,distance,duration_ticks,crashed,epsilon
618,1880.00,188,True,0.7716
619,2980.00,298,True,0.7715
620,4100.00,410,True,0.7713
621,4460.00,446,True,0.7711
622,4380.00,438,True,0.7709
623,2110.00,211,True,0.7708
624,2000.00,200,True,0.7707
625,3730.00,373,True,0.7705
626,3070.00,307,True,0.7703
627,2730.00,273,True,0.7702
628,5370.00,537,True,0.7700
629,6150.00,615,True,0.7697
630,4020.00,402,True,0.7695
631,1790.00,179,True,0.7694
632,3570.00,357,True,0.7692
633,9760.00,976,True,0.7687
634,2340.00,234,True,0.7686
635,3120.00,312,True,0.7685
636,1560.00,156,True,0.7684
637,4330.00,433,True,0.7682
638,2950.00,295,True,0.7681
639,3010.00,301,True,0.7679
640,3220.00,322,True,0.7678
641,6320.00,632,True,0.7675
642,2860.00,286,True,0.7673
643,1840.00,184,True,0.7672
644,2010.00,201,True,0.7671
645,3000.00,300,True,0.7670
646,7300.00,730,True,0.7666
647,5290.00,529,True,0.7664
648,1770.00,177,True,0.7663
649,2440.00,244,True,0.7662
650,3260.00,326,True,0.7660
651,4820.00,482,True,0.7658
652,3800.00,380,True,0.7656
653,2320.00,232,True,0.7655
654,2990.00,299,True,0.7654
655,4230.00,423,True,0.7652
656,3410.00,341,True,0.7650
657,2350.00,235,True,0.7649
658,2740.00,274,True,0.7648
659,2050.00,205,True,0.7647
660,6490.00,649,True,0.7644
661,4610.00,461,True,0.7641
662,1720.00,172,True,0.7641
663,2860.00,286,True,0.7639
664,3900.00,390,True,0.7637
665,2140.00,214,True,0.7636
666,4170.00,417,True,0.7634
667,2420.00,242,True,0.7633
668,3550.00,355,True,0.7631
669,3870.00,387,True,0.7630
670,1790.00,179,True,0.7629
671,4130.00,413,True,0.7627
672,4610.00,461,True,0.7625
673,4470.00,447,True,0.7623
674,5920.00,592,True,0.7620
675,3350.00,335,True,0.7618
676,4750.00,475,True,0.7616
677,1560.00,156,True,0.7615
678,1630.00,163,True,0.7614
679,4970.00,497,True,0.7612
680,2740.00,274,True,0.7611
681,2180.00,218,True,0.7610
682,3120.00,312,True,0.7608
683,4410.00,441,True,0.7606
684,5220.00,522,True,0.7604
685,4060.00,406,True,0.7602
686,14500.00,1450,True,0.7595
687,2600.00,260,True,0.7594
688,8740.00,874,True,0.7589
689,3430.00,343,True,0.7588
690,5490.00,549,True,0.7585
691,3310.00,331,True,0.7584
692,5130.00,513,True,0.7581
693,3720.00,372,True,0.7580
694,2430.00,243,True,0.7578
695,3690.00,369,True,0.7577
696,2120.00,212,True,0.7576
697,2950.00,295,True,0.7574
698,3500.00,350,True,0.7573
699,2190.00,219,True,0.7572
700,3810.00,381,True,0.7570
701,7400.00,740,True,0.7566
702,2160.00,216,True,0.7565
703,4660.00,466,True,0.7563
704,1560.00,156,True,0.7562
705,4110.00,411,True,0.7560
706,1780.00,178,True,0.7560
707,5850.00,585,True,0.7557
708,2060.00,206,True,0.7556
709,2520.00,252,True,0.7555
710,1710.00,171,True,0.7554
711,7730.00,773,True,0.7550
712,6660.00,666,True,0.7547
713,3950.00,395,True,0.7545
714,2960.00,296,True,0.7544
715,3010.00,301,True,0.7542
716,2950.00,295,True,0.7541
717,2350.00,235,True,0.7540
718,5320.00,532,True,0.7537
719,9760.00,976,True,0.7533
720,3430.00,343,True,0.7531
721,2080.00,208,True,0.7530
722,2950.00,295,True,0.7529
723,2160.00,216,True,0.7528
724,2170.00,217,True,0.7527
725,2240.00,224,True,0.7526
726,5560.00,556,True,0.7523
727,3850.00,385,True,0.7521
728,6370.00,637,True,0.7518
729,3100.00,310,True,0.7517
730,9030.00,903,True,0.7513
731,11770.00,1177,True,0.7507
732,5200.00,520,True,0.7505
733,2720.00,272,True,0.7504
734,6580.00,658,True,0.7500
735,7070.00,707,True,0.7497
